Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.034003 0.075231 418.607362 686304.808111
2 0.015266 0.062531 222.209607 467202.153604
3 0.028181 0.055804 368.921475 437333.757671
4 0.025045 0.067642 398.020698 671042.816782
5 0.035458 0.096403 571.654681 1537315.975617
6 0.049232 0.179406 753.391668 4436307.163104
7 0.095505 0.379826 1171.971738 10303958.559860
8 0.115864 0.361696 1170.463578 9950941.472823
9 0.039403 0.114087 472.303701 1140704.602049
10 0.033870 0.128691 479.783684 1625935.397628
11 0.049265 0.154063 646.456678 2287234.541897
12 0.019281 0.050167 277.865864 386423.711205
13 0.062995 0.173165 910.538490 3479122.880594
14 0.051271 0.094800 710.081142 1331090.208847
15 0.047941 0.135049 698.013077 2790498.079646
16 0.029275 0.068055 460.217032 906018.571227
17 0.027372 0.062958 468.464379 898516.631642
18 0.026971 0.100392 540.338918 2443386.387670
19 0.013431 0.059038 313.514497 940814.217580
20 0.055008 0.143766 1107.822029 6233364.404790
21 0.016923 0.047249 362.459389 746710.530411
22 0.044588 0.114104 922.612110 3306225.686165
23 0.021614 0.052304 449.637100 789696.809154
24 0.017935 0.056011 400.675331 1061609.048120
25 0.016361 0.064244 452.478036 1792075.228361
26 0.022680 0.053480 638.171414 1748664.276483
27 0.025152 0.080781 740.564208 3613924.269020
28 0.025199 0.053438 727.896812 1952132.255225
29 0.034402 0.099399 1023.304809 5686478.866837
30 0.025018 0.076394 822.682831 3818530.625631
31 0.084808 0.580228 3410.199316 116371497.949180
32 0.071188 0.190675 2304.178236 27928935.155527
33 0.019746 0.056014 755.063156 3067929.591938
34 0.019805 0.057835 857.019722 3953299.609463
