Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.019564 0.046014 245.820314 256746.671370
2 0.013434 0.046118 186.404379 254132.563369
3 0.037980 0.064727 471.361598 598048.170145
4 0.025052 0.063235 397.447054 586446.588770
5 0.030733 0.090222 485.828633 1343204.670069
6 0.042830 0.131124 644.683748 2369805.878505
7 0.063871 0.335711 906.740958 8049458.025095
8 0.173606 0.544457 1889.625386 21553276.849737
9 0.064750 0.131578 659.887734 1304396.157518
10 0.024611 0.103903 366.013592 1059885.612126
11 0.055991 0.155506 738.453690 2412534.718100
12 0.018294 0.047727 258.106359 341259.472214
13 0.056899 0.174220 822.428169 3488017.450207
14 0.115608 0.182900 1509.038809 5623662.829724
15 0.039079 0.116650 588.487939 2081910.472432
16 0.014681 0.050887 245.047438 425274.199220
17 0.018443 0.051839 329.769517 589446.900293
18 0.019416 0.063016 365.511982 938428.882442
19 0.018047 0.041296 343.334283 468398.547825
20 0.020954 0.046899 428.460427 682270.837510
21 0.026105 0.062646 544.327694 1184553.508349
22 0.044784 0.130459 941.084390 4177255.120243
23 0.031219 0.094274 676.690699 2892896.702054
24 0.020493 0.051323 476.893581 1050951.103426
25 0.013193 0.042821 334.450200 794974.661245
26 0.042685 0.070347 1044.667760 3032543.344303
27 0.023950 0.066378 737.627607 3069137.733427
28 0.017038 0.065529 535.356261 2595106.791764
29 0.036587 0.129260 1175.173319 10288664.180465
30 0.028372 0.094368 984.026982 5781309.923383
31 0.084779 0.592994 3497.810472 121548292.534627
32 0.160413 0.396662 5542.152201 128580840.704766
33 0.031857 0.063846 1133.378649 3979228.598438
34 0.031296 0.075476 1211.837547 6524782.149703
