Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.020294 0.044824 14.692875 457.966953
2 0.013710 0.054998 12.347439 601.177148
3 0.020544 0.063523 15.539749 690.393438
4 0.030142 0.078718 19.577349 950.598594
5 0.033878 0.084849 21.361192 1138.461055
6 0.031804 0.103099 19.911887 1210.399805
7 0.086036 0.360959 29.179774 3050.535586
8 0.116909 0.261459 30.642014 2106.790957
9 0.054661 0.186723 22.667847 1774.985879
10 0.037927 0.135209 19.873406 1339.699844
11 0.037371 0.127740 19.601469 1253.956289
12 0.016473 0.066038 13.867708 766.919727
13 0.055765 0.170235 25.207683 1824.913516
14 0.078270 0.124218 31.227434 1546.450977
15 0.044358 0.138011 23.809026 1707.108281
16 0.021160 0.082560 16.813853 1058.009844
17 0.018430 0.047697 16.645061 710.081172
18 0.019736 0.068265 17.665336 1049.416797
19 0.013582 0.054301 15.032853 888.806172
20 0.018310 0.060157 17.794402 969.568594
21 0.013296 0.050250 15.383657 874.486172
22 0.049194 0.135655 28.612600 2125.226016
23 0.028915 0.081827 22.498763 1417.721914
24 0.019660 0.046646 19.099264 859.192188
25 0.014523 0.047870 17.347084 988.896016
26 0.014713 0.043452 18.571437 1077.280078
27 0.023769 0.089881 24.231794 2115.188672
28 0.029497 0.061304 27.515600 1604.952344
29 0.036334 0.155270 29.963400 3383.673047
30 0.034221 0.115280 30.097485 2937.277266
31 0.111933 0.632932 50.638647 11767.423516
32 0.102681 0.242097 52.807297 6083.458906
33 0.033446 0.070258 32.392280 2224.644297
34 0.019668 0.061293 26.076333 2084.185625
