Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.039798 0.105576 20.572058 1123.531298
2 0.027255 0.068902 17.388583 739.958851
3 0.033156 0.096334 19.912594 1141.620660
4 0.023921 0.067206 17.502414 813.891137
5 0.028795 0.076706 19.700505 1000.452576
6 0.063176 0.254010 28.018031 2982.119706
7 0.071787 0.345335 26.200950 2962.249358
8 0.156192 0.598225 36.169685 5404.773771
9 0.073224 0.191755 26.027923 1873.375836
10 0.028074 0.079331 17.173859 786.047149
11 0.036621 0.133479 19.354756 1340.627134
12 0.030317 0.094522 18.843149 1056.627285
13 0.106719 0.328577 34.875342 3648.230746
14 0.042710 0.099878 22.924869 1270.090426
15 0.029332 0.105378 19.321435 1320.876988
16 0.021744 0.064051 17.197872 820.833296
17 0.015797 0.060993 15.394909 918.328589
18 0.035885 0.099548 23.765499 1595.307976
19 0.011060 0.045914 13.552427 751.534694
20 0.028744 0.118214 22.360825 2132.372816
21 0.027298 0.078006 22.089446 1357.533547
22 0.061527 0.152294 32.223863 2674.943068
23 0.051823 0.157186 29.868209 2705.682840
24 0.022706 0.082639 20.445689 1522.152244
25 0.027701 0.088252 23.996249 1847.817321
26 0.029107 0.090001 26.101744 2231.319323
27 0.048771 0.292949 34.619963 6894.033984
28 0.022998 0.101616 24.131777 2545.767719
29 0.086069 0.278019 45.939550 6868.823647
30 0.034655 0.084192 30.346998 2145.158738
31 0.105944 0.603705 49.286733 11224.038788
32 0.136240 0.653554 60.599554 17834.299416
33 0.036316 0.130318 33.489131 3894.390734
34 0.019493 0.065361 25.957032 2212.045396
