Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.028288 0.081701 371.965773 755952.875472
2 0.024232 0.103979 337.092325 1248813.292180
3 0.024784 0.071919 377.918446 784625.513581
4 0.020070 0.074103 338.164133 805363.979710
5 0.024481 0.098162 435.180736 1595099.727197
6 0.047026 0.188165 776.525514 4880077.922654
7 0.071596 0.366578 1023.452279 9597754.039767
8 0.156267 0.465134 1621.232013 15442668.091489
9 0.050627 0.127098 583.920687 1469984.359005
10 0.027638 0.074678 361.131500 547502.717007
11 0.038388 0.116501 499.744068 1396565.425797
12 0.021317 0.054510 298.914390 456221.948804
13 0.107203 0.318703 1469.342808 12156308.869415
14 0.064786 0.163596 932.877221 3553673.636879
15 0.022926 0.074708 359.716024 853939.551869
16 0.017011 0.095151 341.830648 1486930.486145
17 0.023436 0.080430 429.396271 1466449.185223
18 0.027299 0.073891 528.354174 1194002.501481
19 0.014089 0.046797 295.372698 586738.110021
20 0.023411 0.070031 518.217435 1444987.485455
21 0.018034 0.054676 393.883643 925630.665977
22 0.047697 0.130239 995.996942 4163183.229514
23 0.034023 0.107080 720.871773 3088981.024176
24 0.016716 0.057641 394.478438 1124313.280272
25 0.020693 0.060718 586.008065 1563992.133913
26 0.024326 0.069257 713.755922 2939264.410987
27 0.044387 0.204811 1557.530849 24892602.207388
28 0.023024 0.071347 731.979329 3458089.680483
29 0.032923 0.118710 1074.460185 7800219.979605
30 0.032708 0.087869 1051.515644 5704898.756023
31 0.109336 0.566849 3668.582848 111066768.568289
32 0.066862 0.228738 2362.014884 38960731.073273
33 0.019959 0.065448 808.593243 4669000.279216
34 0.020739 0.065539 884.568300 4919722.853529
