Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.025652 0.064866 16.567308 716.349180
2 0.014743 0.039891 12.813854 428.400977
3 0.021627 0.048688 16.026949 582.338125
4 0.029021 0.074040 19.214441 894.105430
5 0.036884 0.096903 22.269097 1244.791289
6 0.038396 0.147950 21.807178 1736.954492
7 0.087516 0.373761 29.442810 3158.726992
8 0.134507 0.400359 33.038436 3491.710020
9 0.037943 0.111825 18.795788 1066.733359
10 0.034432 0.131196 18.916547 1299.940078
11 0.040534 0.141102 20.353401 1385.123281
12 0.019269 0.049639 15.170552 615.083984
13 0.070140 0.180978 28.296574 1957.753320
14 0.061702 0.101215 27.734415 1262.327109
15 0.019934 0.096490 15.930876 1193.527227
16 0.019663 0.072498 16.329499 929.065508
17 0.016838 0.058880 15.898359 873.837109
18 0.023972 0.062002 19.460147 917.809063
19 0.013505 0.060378 14.985124 988.282734
20 0.019358 0.069679 18.277327 1123.031484
21 0.017537 0.064011 17.672459 1112.090703
22 0.045875 0.123135 27.692814 1929.079531
23 0.018070 0.060701 17.779261 1040.435781
24 0.017813 0.046076 18.209871 850.023594
25 0.014528 0.053637 17.359587 1116.312266
26 0.014890 0.043867 18.687061 1087.557422
27 0.021791 0.070047 23.282964 1648.428906
28 0.023085 0.051689 24.309384 1353.233594
29 0.036158 0.157726 29.884969 3437.202344
30 0.023615 0.084979 24.977521 2165.212813
31 0.084102 0.578452 43.487772 10754.530937
32 0.083680 0.213862 47.718318 5983.179844
33 0.015206 0.044586 21.763243 1335.357969
34 0.023540 0.067039 28.535753 2268.814531
