Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.038705 0.088571 472.387236 933268.628369
2 0.024655 0.058449 314.669311 394012.572298
3 0.024349 0.095889 395.251613 1294783.338104
4 0.022562 0.062911 359.108564 580459.814297
5 0.027357 0.138667 557.935745 3354050.606990
6 0.064057 0.214318 1147.670155 7271340.130370
7 0.096876 0.383338 1250.671184 10623065.082546
8 0.130698 0.447828 1423.868704 16261190.975579
9 0.050296 0.104975 537.175395 1132827.026073
10 0.036370 0.095827 484.613934 1082350.926709
11 0.051615 0.187292 682.785283 3380255.387406
12 0.022710 0.066019 334.166014 625595.391505
13 0.114675 0.336758 1622.905224 14940914.829796
14 0.069162 0.188763 978.800725 5989949.507165
15 0.021927 0.078855 366.939556 951378.450541
16 0.019947 0.076095 338.931854 950396.964874
17 0.017390 0.059767 334.240491 809743.779980
18 0.026947 0.077529 514.825760 1457190.443211
19 0.019944 0.062015 390.219150 1030392.052751
20 0.031160 0.140724 780.449789 6404148.768911
21 0.033543 0.119091 828.213848 4649350.222892
22 0.050706 0.148176 1067.907284 7009501.784846
23 0.039243 0.128044 819.941523 4211398.721267
24 0.028677 0.100070 730.333884 3388644.187859
25 0.027528 0.069669 697.375946 2059074.162062
26 0.024965 0.067411 749.452585 2793146.922029
27 0.043755 0.229819 1626.219939 29250485.179689
28 0.022963 0.079971 731.687661 4014051.699573
29 0.039070 0.241849 1605.335613 38457044.829111
30 0.023084 0.078429 787.790919 4040326.623635
31 0.113164 0.537451 3758.121616 99845200.883755
32 0.173004 1.182169 8788.561720 1071292873.327464
33 0.033749 0.078102 1247.369600 5801083.878480
34 0.024858 0.073609 1037.940424 6206029.855158
