Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.020470 0.046824 14.757797 512.667539
2 0.019636 0.063841 14.720989 697.836328
3 0.011453 0.041782 11.671386 499.732656
4 0.024258 0.059618 17.660128 798.701875
5 0.033739 0.106250 21.295606 1364.859648
6 0.036357 0.125664 21.273447 1504.351992
7 0.061235 0.323742 24.321572 2736.009219
8 0.131116 0.310270 32.572598 2706.002988
9 0.103320 0.233785 31.227418 2197.157773
10 0.025347 0.116582 16.232500 1155.139297
11 0.045675 0.133775 21.604355 1324.268555
12 0.020094 0.053098 15.501678 657.949219
13 0.078098 0.195977 29.875992 2100.863711
14 0.062210 0.122102 27.831868 1440.331875
15 0.032229 0.120315 20.264762 1488.222539
16 0.019129 0.065342 16.083021 837.381484
17 0.020392 0.050093 17.532080 740.185430
18 0.021329 0.058330 18.361655 934.766328
19 0.016873 0.041985 16.751377 687.230000
20 0.025529 0.083726 20.919357 1349.424063
21 0.021135 0.069687 19.403373 1210.703984
22 0.045796 0.123533 27.633410 1935.329531
23 0.027833 0.076078 22.244076 1412.830469
24 0.017307 0.043621 18.106838 835.444687
25 0.016517 0.056963 18.526268 1186.080312
26 0.014547 0.041774 18.470422 1035.660938
27 0.021616 0.065977 23.214328 1552.657422
28 0.023037 0.065185 24.283767 1706.559766
29 0.034956 0.142401 29.459114 3103.227734
30 0.027174 0.076004 26.846414 1936.542891
31 0.081920 0.574398 42.998395 10679.165703
32 0.104589 0.253736 53.401654 7196.892422
33 0.015952 0.037982 22.319348 1174.547500
34 0.027916 0.072587 31.082797 2456.572344
