Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.031149 0.101804 438.432450 1232993.321712
2 0.029935 0.105479 404.548288 1283192.009944
3 0.021747 0.059144 306.520472 531539.102987
4 0.024146 0.068116 382.471280 680470.986783
5 0.027824 0.104541 484.826883 1917443.333365
6 0.058023 0.168909 925.376582 4459864.621059
7 0.062753 0.326729 886.379355 7624509.866389
8 0.221456 0.849244 2725.062809 57808481.930165
9 0.035303 0.096756 430.862736 891268.823617
10 0.030718 0.083989 415.856275 769353.013358
11 0.034554 0.136936 502.431518 1929461.927028
12 0.026103 0.053450 348.450469 438664.210268
13 0.099927 0.272632 1395.856766 10078490.374738
14 0.060413 0.200506 895.996205 5338102.418492
15 0.028316 0.092292 466.722536 1309384.817020
16 0.020578 0.107428 424.541603 1894179.421498
17 0.027558 0.079967 500.202624 1449622.580590
18 0.025673 0.073470 495.566271 1178610.364560
19 0.015595 0.040381 332.611932 478945.729972
20 0.027077 0.070143 575.501272 1600866.875346
21 0.023054 0.076776 555.084270 1807334.560971
22 0.057705 0.152938 1182.387340 7467323.707004
23 0.047880 0.186480 1167.519904 9368360.171112
24 0.023726 0.070027 548.030954 1659411.983774
25 0.020644 0.055044 554.219701 1315552.524210
26 0.027184 0.068168 786.069781 2856182.103978
27 0.085210 0.360381 3272.621817 77014508.205103
28 0.022273 0.082372 741.700737 4258674.555027
29 0.055647 0.178286 1764.511905 21348682.965619
30 0.032206 0.085274 1029.484284 5372971.018944
31 0.100484 0.554864 3470.193691 106419887.911505
32 0.113650 0.504664 4510.423461 196709851.354906
33 0.024706 0.087008 932.327645 6482923.432036
34 0.025099 0.070002 1012.953559 5791540.160449
