Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.034624 0.100390 19.202191 1068.339211
2 0.028588 0.091576 17.828504 983.470349
3 0.023571 0.077016 16.760655 943.582936
4 0.023901 0.074081 17.427247 900.804234
5 0.027904 0.097173 19.346392 1283.387575
6 0.038811 0.187499 21.947245 2244.788302
7 0.070585 0.350757 26.219343 3009.214667
8 0.189511 0.841643 39.564728 7084.466069
9 0.048608 0.120425 21.390121 1145.156066
10 0.032363 0.083833 18.428364 892.164218
11 0.036377 0.146246 19.332211 1483.488798
12 0.029970 0.081330 18.799802 974.374820
13 0.124812 0.444039 37.823197 4799.492426
14 0.073943 0.229123 30.214572 2771.513968
15 0.022402 0.078440 16.920595 950.580268
16 0.019519 0.081822 16.164879 1048.242648
17 0.025769 0.070460 19.696615 1060.853633
18 0.023663 0.088041 19.287501 1303.270894
19 0.019762 0.055914 18.176838 946.153018
20 0.028062 0.110864 22.061695 1846.915221
21 0.025363 0.080584 21.271556 1405.438361
22 0.056218 0.142473 30.720637 2388.983437
23 0.047594 0.167192 28.579047 2744.198397
24 0.027918 0.084797 22.815158 1564.378670
25 0.024720 0.059997 22.716476 1250.180470
26 0.028124 0.074864 25.644739 1853.178229
27 0.059689 0.258564 38.204674 6297.931429
28 0.023972 0.085729 24.592493 2107.518077
29 0.035120 0.158530 29.748124 4070.024113
30 0.030037 0.091989 28.236230 2343.820277
31 0.107231 0.570862 49.915434 10613.420713
32 0.086170 0.438985 48.356185 12281.410803
33 0.028339 0.065522 29.854182 1980.333178
34 0.024770 0.066392 29.301846 2282.474067
