Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.026692 0.056276 328.226751 367366.425755
2 0.023190 0.086666 316.712829 866275.233597
3 0.019725 0.056049 284.807924 462380.230454
4 0.028053 0.071248 446.394379 912666.479659
5 0.025849 0.095194 461.783452 1589893.488064
6 0.045628 0.156358 692.133261 3504235.515074
7 0.115572 0.334390 1312.506002 7986216.020070
8 0.192082 0.808287 2051.185690 49694359.278338
9 0.067015 0.151669 756.938971 2031802.810365
10 0.028892 0.086646 400.387993 857308.277275
11 0.046563 0.172197 630.688033 2857349.708791
12 0.020473 0.053978 295.820217 447367.405052
13 0.079482 0.269879 1186.902066 9875988.610054
14 0.058873 0.144378 853.486587 3120213.154842
15 0.016978 0.081474 289.369847 1015625.874098
16 0.027863 0.091197 497.500636 1365920.905959
17 0.015330 0.057682 306.947613 752692.054124
18 0.024227 0.100288 504.826581 2261923.146047
19 0.022957 0.067816 495.559264 1232180.265621
20 0.030781 0.081363 637.337676 1837253.478481
21 0.018337 0.059169 396.238066 1162805.590278
22 0.050349 0.149512 1080.941901 7066293.792338
23 0.029030 0.085395 607.488790 2160699.423982
24 0.021370 0.052767 483.024273 1096360.938814
25 0.026418 0.069176 706.249960 2074465.111722
26 0.027103 0.062820 766.241077 2324978.683186
27 0.077585 0.316586 2749.806110 55506706.816042
28 0.027299 0.073317 883.700660 3677124.135020
29 0.023658 0.091499 747.902374 5155444.001392
30 0.031300 0.086672 982.271704 4934245.401529
31 0.112249 0.555203 3780.586385 106549672.806288
32 0.053032 0.204968 1833.098638 32204943.951807
33 0.021558 0.056481 839.874373 3709619.914047
34 0.020736 0.061563 878.113900 4479347.090012
