Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.028624 0.068705 17.461126 731.159113
2 0.021068 0.059181 15.300841 635.565556
3 0.023741 0.061240 16.868755 754.574117
4 0.025598 0.059967 18.173590 726.230345
5 0.031921 0.119237 20.707215 1647.323054
6 0.044999 0.167869 23.657999 2009.773229
7 0.086836 0.347251 29.084630 2934.680201
8 0.205083 0.631756 40.956349 5509.818042
9 0.051271 0.134664 21.911718 1261.810106
10 0.031457 0.089959 18.191377 976.649705
11 0.046619 0.183753 21.943598 1825.034049
12 0.023437 0.056257 16.703986 673.989557
13 0.114120 0.345462 36.205185 3681.002226
14 0.061277 0.148617 27.620918 1896.022531
15 0.024107 0.093174 17.520997 1152.502791
16 0.022611 0.093114 17.467505 1193.257471
17 0.026635 0.063889 20.042762 961.920379
18 0.025933 0.107414 20.180798 1590.045852
19 0.017024 0.059780 16.836325 999.667053
20 0.028836 0.085829 22.306271 1435.014769
21 0.021826 0.080726 19.754548 1425.866105
22 0.047273 0.134570 28.097812 2108.226121
23 0.033368 0.133859 23.869361 2202.495839
24 0.016513 0.043983 17.648613 875.748306
25 0.023838 0.079940 22.250117 1651.409176
26 0.015245 0.035165 18.738789 819.782553
27 0.083143 0.361457 45.110832 8506.234654
28 0.027187 0.072778 26.288660 1843.747234
29 0.037184 0.128072 30.453382 2971.542515
30 0.022922 0.081626 24.654495 2087.934511
31 0.092291 0.563861 45.830767 10483.267698
32 0.118839 0.413797 56.977391 11456.755863
33 0.025345 0.073397 28.510305 2501.200296
34 0.021568 0.065413 27.295796 2213.793625
