Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.022662 0.067203 7.038099 152.080811
2 0.030196 0.094761 8.131589 203.906787
3 0.028994 0.104542 8.082618 228.496875
4 0.037277 0.105543 9.578434 248.089697
5 0.037772 0.085832 10.059486 232.570215
6 0.062105 0.229234 12.062475 506.606445
7 0.083164 0.375177 12.364549 606.210742
8 0.172838 0.451560 16.626085 755.504419
9 0.080722 0.246972 12.780016 497.631567
10 0.031050 0.107885 8.375247 244.424170
11 0.046647 0.148436 10.250474 320.457910
12 0.018780 0.051925 7.134150 147.031152
13 0.048952 0.220852 11.210595 517.985498
14 0.084528 0.160639 15.505227 476.101025
15 0.045497 0.172653 11.543314 479.768848
16 0.030557 0.089853 9.682862 260.178320
17 0.017047 0.058398 7.736760 214.654346
18 0.017295 0.071995 8.292684 287.765625
19 0.034833 0.102234 12.107699 408.904980
20 0.030888 0.096444 11.948323 422.258594
21 0.013019 0.044610 8.101570 232.816016
22 0.046871 0.146329 14.879424 653.829297
23 0.030209 0.073862 12.070805 350.865430
24 0.021218 0.080211 10.571915 404.920313
25 0.041451 0.081784 15.708574 479.742676
26 0.009769 0.044078 7.987184 274.247949
27 0.030602 0.094027 14.833371 645.974707
28 0.027819 0.137424 14.355189 976.863672
29 0.042056 0.151550 17.603823 938.533105
30 0.025304 0.080574 14.232330 624.592578
31 0.085053 0.459796 25.857232 3154.524609
32 0.092127 0.216478 31.782012 2453.233398
33 0.030462 0.146938 19.923240 1852.769727
34 0.036389 0.113221 22.813615 1614.016602
