Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.024962 0.069486 7.405315 157.969982
2 0.036160 0.093023 8.964581 193.126264
3 0.087908 0.313720 14.387962 779.563879
4 0.021079 0.081959 7.176946 192.652360
5 0.025929 0.104803 8.259845 257.689517
6 0.102988 0.317675 15.588421 749.109102
7 0.087153 0.413146 12.693174 662.645079
8 0.298830 0.847710 21.775159 1389.110695
9 0.064744 0.148357 11.314375 272.709858
10 0.051265 0.111890 10.807539 245.139330
11 0.109092 0.372311 15.948213 927.390672
12 0.029598 0.069879 8.956380 191.433867
13 0.116535 0.302787 17.416852 710.157620
14 0.073797 0.268973 14.308799 679.774542
15 0.026951 0.087310 8.956007 260.399090
16 0.058266 0.228687 13.565331 743.028092
17 0.021139 0.063175 8.590738 228.143500
18 0.018151 0.051978 8.580274 204.971108
19 0.119550 0.600853 22.304187 2482.422837
20 0.037956 0.140587 13.190283 616.501584
21 0.027559 0.102071 11.748546 498.810984
22 0.063484 0.208187 17.346245 940.380717
23 0.032545 0.105258 12.397361 483.185024
24 0.021390 0.087650 10.601423 443.370736
25 0.025047 0.091005 12.234606 561.493080
26 0.031227 0.167381 14.195246 1040.523411
27 0.037257 0.086981 16.509450 664.943670
28 0.041429 0.158721 17.693818 1137.585807
29 0.115417 0.609905 29.365462 4621.615588
30 0.035990 0.093652 17.034947 767.427586
31 0.077739 0.185735 25.991475 1715.223543
32 0.069097 0.248867 27.556470 2915.208748
33 0.043361 0.169151 23.916279 2281.238859
34 0.051368 0.185674 26.941549 2558.282265
