Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.022217 0.067414 6.980439 152.840869
2 0.031343 0.105192 8.264768 219.949512
3 0.033613 0.097438 8.717209 221.653271
4 0.027469 0.087544 8.215925 205.781348
5 0.031190 0.094682 9.097524 232.075293
6 0.075308 0.270492 13.261927 588.861084
7 0.065109 0.332346 11.043542 541.159473
8 0.138037 0.390495 14.900095 651.924719
9 0.051816 0.128840 10.200318 254.278467
10 0.036015 0.118928 9.006041 269.443701
11 0.056157 0.183309 11.231271 395.745996
12 0.024888 0.069884 8.227227 198.045264
13 0.052626 0.242376 11.585373 568.469385
14 0.070192 0.156471 14.167754 458.678809
15 0.044208 0.169134 11.380814 469.989551
16 0.028802 0.098505 9.383303 285.231787
17 0.016768 0.053804 7.662348 197.766162
18 0.014244 0.052091 7.572454 191.582080
19 0.031904 0.092763 11.591772 371.025098
20 0.029084 0.098588 11.572527 431.649219
21 0.047138 0.118076 15.393741 588.347363
22 0.047387 0.160411 14.963908 716.747266
23 0.029317 0.069062 11.885974 343.557031
24 0.018163 0.050661 9.790492 266.576660
25 0.012643 0.045443 8.666552 266.570312
26 0.011221 0.037143 8.582914 231.097559
27 0.031916 0.075251 15.245210 520.371191
28 0.033276 0.149526 15.691179 1062.890039
29 0.041184 0.154232 17.449126 955.141504
30 0.025472 0.082072 14.250016 636.202930
31 0.087181 0.469243 26.517947 3219.334180
32 0.066735 0.156772 26.971297 1741.437891
33 0.042073 0.166822 23.750559 2344.021484
34 0.036703 0.115301 22.916596 1643.672852
