Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.031230 0.105872 8.297464 239.800863
2 0.052386 0.160060 10.703594 337.790319
3 0.104056 0.325772 15.455338 783.774550
4 0.024808 0.088559 7.808637 207.288916
5 0.027951 0.129117 8.615360 332.412845
6 0.090845 0.249003 14.682242 542.079774
7 0.096397 0.352312 13.301603 463.678466
8 0.255866 0.955819 20.459327 1747.906468
9 0.054805 0.113342 10.421273 249.783397
10 0.063768 0.173044 12.059159 394.661170
11 0.076374 0.176911 13.252451 439.565042
12 0.027341 0.110628 8.593033 298.805004
13 0.103235 0.312383 16.258027 732.662402
14 0.084590 0.197778 15.457669 499.844734
15 0.025243 0.098836 8.583318 274.645769
16 0.033912 0.114315 10.251800 335.776956
17 0.019750 0.053999 8.297475 194.386843
18 0.018439 0.060034 8.600127 239.954112
19 0.296979 2.105911 35.150566 8748.584556
20 0.038444 0.090885 13.347925 445.924783
21 0.027165 0.162236 11.650000 792.833466
22 0.059899 0.194008 16.873493 878.138824
23 0.041992 0.185020 14.113351 874.902970
24 0.021239 0.056460 10.582653 296.110222
25 0.021621 0.065749 11.387773 385.326928
26 0.026288 0.150408 12.984939 935.823079
27 0.045470 0.104754 18.217375 724.381801
28 0.037883 0.139844 16.924202 1002.286999
29 0.085215 0.313365 24.872342 2245.229357
30 0.042801 0.119116 18.578677 973.145357
31 0.103271 0.374381 29.295125 2653.993353
32 0.064395 0.247893 26.603502 2773.991722
33 0.026839 0.118237 18.697163 1490.879926
34 0.041493 0.109382 24.381201 1521.694550
