Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.029592 0.086340 8.035699 185.225879
2 0.030238 0.086728 8.167777 187.228809
3 0.030527 0.098896 8.305070 216.156665
4 0.026133 0.079260 8.014870 188.060742
5 0.034163 0.083516 9.583490 238.780908
6 0.062731 0.233949 12.105645 509.307373
7 0.089628 0.358693 12.693198 489.116602
8 0.188206 0.500211 17.361730 836.902368
9 0.079564 0.160672 12.635712 322.837842
10 0.037274 0.109149 9.221561 247.286963
11 0.053577 0.141193 11.006949 304.822168
12 0.022206 0.061161 7.766615 172.817041
13 0.053579 0.246662 11.720389 577.632129
14 0.068393 0.191137 13.994983 565.192383
15 0.029025 0.144888 9.209726 402.615039
16 0.036425 0.107576 10.579554 328.591064
17 0.024242 0.064478 9.244613 231.469873
18 0.015702 0.058865 7.929448 235.284180
19 0.033345 0.098795 11.848569 395.151074
20 0.041649 0.090738 13.926693 430.701270
21 0.024024 0.056280 10.994632 282.020508
22 0.042442 0.127979 14.208141 575.009277
23 0.024326 0.098705 10.818839 453.489160
24 0.020029 0.054607 10.288568 287.340820
25 0.013476 0.049252 8.951317 288.910645
26 0.015461 0.036368 10.069714 246.806738
27 0.032435 0.075031 15.357241 525.491406
28 0.030332 0.130489 15.136720 927.565332
29 0.037685 0.145405 16.689722 900.476465
30 0.026811 0.070095 14.657199 544.400000
31 0.090706 0.386980 27.241522 2654.954297
32 0.089750 0.256873 31.285328 3047.512305
33 0.034662 0.125419 21.399715 1581.430859
34 0.044160 0.123626 25.164649 1762.344727
