Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.026387 0.087482 7.610061 187.675602
2 0.035887 0.099875 8.906870 214.910452
3 0.072658 0.259227 12.951271 611.076014
4 0.026418 0.089262 8.069486 209.820273
5 0.029837 0.097191 8.895644 238.972302
6 0.085351 0.270210 14.116675 588.247903
7 0.104467 0.371638 14.001551 600.493298
8 0.206877 0.557318 18.295835 1019.167859
9 0.051036 0.117367 10.133004 231.634582
10 0.054296 0.131123 11.127547 299.064866
11 0.080402 0.219005 13.496422 472.809669
12 0.041328 0.095745 10.547257 262.082131
13 0.076842 0.305949 14.071607 737.628180
14 0.076366 0.192896 14.777586 598.757730
15 0.020641 0.084152 7.773959 239.792437
16 0.020991 0.073426 8.008792 212.611619
17 0.019833 0.058447 8.342815 210.396970
18 0.017753 0.058095 8.474606 228.254524
19 0.044603 0.139020 13.682970 559.235894
20 0.026278 0.080025 10.995790 374.122946
21 0.023293 0.064469 10.827187 330.238114
22 0.056847 0.183675 16.427062 827.767949
23 0.040894 0.128851 13.956394 638.922035
24 0.013652 0.039197 8.496719 205.331247
25 0.019503 0.065870 10.770052 386.395584
26 0.025848 0.128857 12.928904 801.736986
27 0.064872 0.175390 21.669695 1233.107564
28 0.034689 0.140599 16.164268 1007.698257
29 0.040468 0.188826 17.293245 1316.397902
30 0.049090 0.131210 19.857951 1025.547673
31 0.092174 0.316660 27.853771 2178.464942
32 0.127066 0.460352 37.495702 5301.642441
33 0.032093 0.121873 20.431208 1516.104300
34 0.037579 0.119534 23.119988 1644.348400
