Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.033238 0.125990 8.553317 285.366419
2 0.028480 0.094052 7.967780 202.381160
3 0.034910 0.111313 8.888385 262.397480
4 0.022729 0.083153 7.469353 194.636484
5 0.031906 0.116934 9.204366 301.047084
6 0.055793 0.200206 11.439105 439.636068
7 0.098236 0.343637 13.875491 559.544271
8 0.217875 0.778863 18.917760 1424.307066
9 0.043122 0.131415 9.278768 266.010497
10 0.050888 0.125329 10.795725 285.837438
11 0.061395 0.169286 11.754195 375.375524
12 0.037461 0.111036 10.100287 307.115545
13 0.045153 0.180222 10.843983 420.961748
14 0.084226 0.211175 15.497019 625.880685
15 0.030745 0.141398 9.483538 392.915897
16 0.028073 0.122047 9.266836 354.460623
17 0.021518 0.065108 8.687535 235.039930
18 0.015618 0.058586 7.919752 225.809410
19 0.067698 0.253419 16.843189 1052.778982
20 0.032768 0.080972 12.340664 396.707785
21 0.022519 0.120060 10.608443 583.465818
22 0.056133 0.169413 16.291787 763.492494
23 0.027877 0.101912 11.520838 465.801162
24 0.026565 0.088607 11.859656 463.014366
25 0.022169 0.067381 11.496290 394.891644
26 0.025449 0.124659 12.823213 775.618644
27 0.043882 0.125795 17.829112 881.026976
28 0.037239 0.132767 16.764099 955.844266
29 0.041775 0.219992 17.392408 1362.389347
30 0.024668 0.082146 14.113270 675.471826
31 0.088946 0.369327 27.008515 2550.056135
32 0.073782 0.196056 28.251240 2192.998808
33 0.043492 0.188345 24.004813 2584.188639
34 0.033081 0.102165 21.660512 1456.410307
